code,מקט,קו,כיוון,שם מפעיל,אשכול,מחוז,שם יישוב מוצא,שם יישוב יעד,מוצא_יעד מאוחד,סוג קו,שם סוג שירות,ייחודיות הקו,סוג אוטובוס,גודל אוטובוס,מספר חלופות,אורך מסלול (קמ) חלופה ראשית,"ק""מ שבועי",ממוצע נוסעים לקילומטר,מספר תחנות בקו - חלופה ראשית,הפעלת הקו,תחנות שקו זה משרת בבלעדיות,ישובים שקו זה משרת בבלעדיות,מהירות ממוצעת,משך נסיעה ממוצע (דקות),עלות תפעולית לנוסע,עלות תפעולית משוקללת,קבוצת יעילות תפעולית,כמות נסיעות יומית (ג),כמות נסיעות שבועיות,תיקופים יומי,תיקופים שבועי,ממוצע  תיקופים לנסיעה (שבועי),אומדן נוסעים (אחוזון 80),אומדן ממוצע נוסעים לנסיעה (אחוזון 80),מספר נוסעים מירבי,תקופת נסועה מירבית,הערה
10003_1,10003,3,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,רכסים_רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,3.3,39.7,14.2,12,מעל שנה וחצי,,,15.33,12.92,1.65,931.755,תלמידים,2,12,93.2,564.7,47.1,644.8,53.7333333333333,54,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בשישי - 06:00-08:59
10006_1,10006,6,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,84.2,1.4,21,מעל שנה וחצי,3,,17.39,28.98,14.81,1738.694,תלמידים,2,10,19.6,117.4,11.7,149.8,14.98,17.4,"יום שישי, 06:00 - 08:59 - שיא בוקר",| קו עירוני עם פחות מ-10 נסיעות יומיות
10006_3,10006,6,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,12.3,1317.3,0.8,34,מעל שנה וחצי,14,,15.01,49.17,31.16,31565.08,עירוני תדירות נמוכה,19,107,177.6,1013,9.5,1341,12.5327102803738,23,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10007_1,10007,7,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,נשר,חיפה_נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,4.7,288.9,2.3,8,מעל שנה וחצי,,,27.8,10.14,5.59,3710.083,עירוני תדירות נמוכה,11,61,127.8,663.7,10.9,856.6,14.0426229508197,27.8,"יום חול, 06:00 - 08:59 - שיא בוקר",
10007_2,10007,7,2,אגד,חיפה עירוני,מטרופולין חיפה,נשר,חיפה,חיפה_נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,3.7,229.3,1.3,8,מעל שנה וחצי,,,24.54,9.05,11.09,3368.033,עירוני תדירות נמוכה,11,62,54.8,303.7,4.9,506.4,8.16774193548387,25.4,"יום חול, 15:00 - 18:59 - שיא ערב",מכסימום נוסעים בתקופת יום קטן מ 10
10008_1,10008,8,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,רכסים_רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,5.9,61.3,8.4,22,מעל שנה וחצי,,,16.08,22.01,3.06,1582.326,תלמידים,2,12,85.9,517.1,43.1,636.8,53.0666666666667,55.4,"יום שישי, 06:00 - 08:59 - שיא בוקר",| קו עירוני עם פחות מ-10 נסיעות יומיות
10008_2,10008,8,2,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,רכסים_רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,105.5,5.8,20,מעל שנה וחצי,,,19.49,18.16,3.19,1962.807,תלמידים,3,18,107.4,615.3,34.2,827.4,45.9666666666667,51.4,"יום חול, 12:00 - 14:59 - שפל יום 2",| קו עירוני עם פחות מ-10 נסיעות יומיות
10010_3,10010,10,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.2,1832.6,2.1,35,מעל שנה וחצי,5,,14.83,41.27,11.33,44335.423,עירוני תדירות נמוכה,32,179,698.8,3913.1,21.9,4882.6,27.277094972067,46,"יום שישי, 09:00 - 11:59 - שפל יום 1",| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10012_1,10012,12,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ביאליק,קרית מוצקין,קרית ביאליק_קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.7,7251.9,2.3,47,מעל שנה וחצי,3,,19.04,52.63,8.28,136685.412,עירוני תדירות גבוהה,76,433,2973.7,16507.9,38.1,20492.6,47.3270207852194,85,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10012_2,10012,12,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית מוצקין,קרית ביאליק,קרית ביאליק_קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.6,7124.5,2.3,45,מעל שנה וחצי,3,,19.79,50.33,7.89,129306.843,עירוני תדירות גבוהה,75,428,2927.6,16388.7,38.3,20773.4,48.5359813084112,89.6,"יום שישי, 09:00 - 11:59 - שפל יום 1",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
