page	area	number	description
65	קריית גת	1	אצטדיון – רכבת
65	קריית גת	11	אצטדיון – אזור התעשייה
65	קריית גת	2	אצטדיון – רכבת
65	קריית גת	12	אצטדיון – אזור התעשייה
65	קריית גת	3	אצטדיון – רכבת
65	קריית גת	13	אצטדיון – אזור התעשייה
65	קריית גת	8	שדרות מלכי ישראל – שדרות מלכי ישראל
65	קריית גת	18	שדרות מלכי ישראל – שדרות מלכי ישראל
65	קריית גת	61	קריית גת – שחר
65	קריית גת	62	קריית גת – נטע
65	קריית גת	63	קריית גת – בית ניר
65	קריית גת	64	קריית גת – בני דקלים
65	קריית גת	65	קריית גת – זבדיאל
65	קריית גת	66	קריית גת – מועצה אזורית לכיש
66	קריית גת	68	קריית גת – נחלה
66	קריית גת	69	קריית גת – נועם
66	קריית מלאכי	1	שדרות קרן הידידות – ביג
66	קריית מלאכי	2	רימון – ביג
66	קריית מלאכי	3	הרצל – צומת קסטינה
66	קריית מלאכי	70	קריית מלאכי – קריית גת
66	קריית מלאכי	71	קריית מלאכי – אל עזי
66	קריית מלאכי	73	קריית מלאכי – משואות יצחק
66	קריית מלאכי	76	קריית מלאכי – קדמה
66	נתיבות	1	תחנת רכבת – אזור התעשייה
66	נתיבות	2	תחנת רכבת – אזור התעשייה
66	נתיבות	3	תחנת רכבת – אזור התעשייה
66	נתיבות	4	תחנת רכבת – אזור התעשייה
66	נתיבות	5	תחנת רכבת – פארק נ.ע.מ
66	נתיבות	15	תחנת רכבת – פארק נ.ע.מ
67	נתיבות	51	נתיבות – זרועה
67	נתיבות	52	נתיבות – להבים
67	נתיבות	53	נתיבות – בית קמה
67	נתיבות	54	נתיבות – שיבולים
67	נתיבות	55	נתיבות – שוקדה
67	נתיבות	326	נתיבות – באר שבע
67	אופקים	1	תחנת רכבת – שוק
67	אופקים	2	תחנת רכבת – שכונת שפירא
67	אופקים	3	תחנת רכבת – שכונת שפירא
67	אופקים	4	תחנת רכבת – שוק
67	אופקים	5	תחנת רכבת – אפיקי דמרי
67	אופקים	30	אופקים – צאלים
67	אופקים	31	אופקים – תפרח
67	אופקים	32	אופקים – תפרח
67	אופקים	34	אופקים – פטיש
67	אופקים	37	אופקים – להבים
67	שדרות	1	בית עלמין – מכללת ספיר
67	שדרות	11	בית עלמין – אזור התעשייה
68	שדרות	2	בית עלמין – אזור התעשייה
68	שדרות	3	בית עלמין – תחנת רכבת
68	שדרות	4	בריכה – תחנת רכבת
68	שדרות	10	תחנת רכבת – אזור התעשייה
68	שדרות	25	שדרות – נתיבות
68	שדרות	26	שדרות – זוהר
68	שדרות	27	שדרות – אור הנר
68	שדרות	28	שדרות – נחל עוז
68	אשקלון	1	שדרות בן יהודה – שוק
68	אשקלון	1א	שדרות בר לב – שוק
68	אשקלון	2	ברנע – שוק
68	אשקלון	3	שדרות בן יהודה – חוף הים
68	אשקלון	4	שדרות דרום אפריקה – מסוף רמז
68	אשקלון	5	שכונת ברנע – מסוף רמז
68	אשקלון	6	מסוף רמז – תחנה מרכזית
68	אשקלון	7	שכונת ברנע – שכונת אגמים
69	אשקלון	8	תחנה מרכזית – בית עלמין
69	אשקלון	10	שדרות בן יהודה – מסוף רמז
69	אשקלון	11	שדרות חיים בר לב – אזור התעשייה
69	אשקלון	12	שכונת ברנע – תחנת רכבת
69	אשקלון	13	עולי הגרדום – תחנת רכבת
69	אשקלון	14	תחנה מרכזית – תחנת רכבת
69	אשקלון	15	שכונת אגמים – תחנת רכבת
69	אשקלון	18	חוף הים – תחנת רכבת
69	אשקלון	84	עירוני ד׳ – שיבת ציון
69	אשקלון	91	אפרים/מנשה – בית ספר אורט
69	אשקלון	92	עירוני ד׳ – רמב״ם
69	אשקלון	93	עולי הגרדום – בית ספר אורט
69	אשקלון	94	עירוני ד׳ – מסוף רמז
69	אשקלון	95	שדרות ירושלים – בן צבי
70	אשקלון	96	רמב״ם – בית ספר אורט
70	אשקלון	97	ביאליק – בר כוכבא
70	אשקלון	98	אנה פרנק – עירוני ד׳
70	אשקלון	99	גיורא יוספטל – בית ספר אורט
70	אשקלון	16	אשקלון – תלמי יפה
70	אשקלון	19	אשקלון – זיקים
70	אשקלון	20	אשקלון – ארז
70	אשקלון	21	אשקלון – שחר
70	אשקלון	22	אשקלון – שדרות
70	אשקלון	251	אשקלון – קריית גת
70	מועצה אזורית אשכול	10	מועצה אזורית אשכול – בני נצרים
70	מועצה אזורית אשכול	11	מועצה אזורית אשכול – כרם שלום
70	מועצה אזורית אשכול	12	מועצה אזורית אשכול – פרי גן
70	מועצה אזורית אשכול	13	מועצה אזורית אשכול – אוהד
70	מועצה אזורית אשכול	14	מועצה אזורית אשכול – צאלים
71	מועצה אזורית אשכול	15	מועצה אזורית אשכול – כיסופים
71	מועצה אזורית אשכול	35	מועצה אזורית אשכול – באר שבע
71	מועצה אזורית אשכול	135	בני נצרים – באר שבע
71	מועצה אזורית אשכול	36	מועצה אזורית אשכול – אשקלון
71	מועצה אזורית אשכול	136	בני נצרים – אשקלון
71	מועצה אזורית אשכול	379	מועצה אזורית אשכול – תל אביב
71	מועצה אזורית אשכול	479	מועצה אזורית אשכול – תל אביב
71	באר שבע	40	באר שבע – חצרים
71	באר שבע	41	באר שבע – חצרים
71	באר שבע	43	באר שבע – ניר משה
71	באר שבע	47	באר שבע – להבים
71	באר שבע	57	באר שבע – שומריה
71	באר שבע	130	באר שבע – צאלים
72	באר שבע	134	באר שבע – פטיש
72	באר שבע	164	באר שבע – בני דקלים
72	מועצה אזורית בני שמעון	44	שומריה – משמר הנגב
72	אשקלון	361	אשקלון – באר שבע
72	אשקלון	363	אשקלון – באר שבע
72	אשקלון	364	אשקלון – באר שבע
72	אשקלון	366	אשקלון – באר שבע
72	אשקלון	464	אשקלון – באר שבע
72	נתיבות	323	נתיבות – באר שבע
72	נתיבות	325	נתיבות – באר שבע
